EMPLOYEE_ID|SALARY
107|50000
106|60000
101|70000
1|
3|90000
2|100000
11|110000
10|120000
14|130000
12|140000
13|150000
9|160000
104|170000
4|
5|
8|
7|11000
6|
102|17000
103|20000
105|23000
17|26000
16|29000
18|32000
19|35000
20|38000
15|41000
49|44000
48|47000
47|3000
46|3500
50|4000
56|4500
57|5000
58|5500
59|6000
60|6500
61|7000
62|7500
80|8000
64|8500
65|9000
66|9500
67|10000
68|10500
69|11000
70|11500
71|12000
72|12500
73|13000
74|13500
75|14000
76|14500
77|15000
78|15500
79|16000
55|16500
54|17000
53|17500
52|18000
51|18500
63|19000
85|19500
86|20000
87|20500
88|21000
89|21500
90|22000
91|22500
92|23000
93|23500
94|24000
95|24500
96|25000
97|25500
98|26000
99|26500
100|27000
81|27500
82|28000
83|28500
84|29000
33|29500
44|30000
43|30500
42|31000
41|6000
26|7000
27|8000
28|9000
29|10000
30|11000
31|12000
32|13000
45|14000
34|15000
35|16000
36|17000
37|18000
38|19000
39|20000
40|21000
25|22000
24|23000
23|24000
